match_number,date_local,fixture_kickoff_utc,kickoff_utc,kickoff_beijing,stage,stage_cn,group,home_team,away_team,stadium,host_city,status,status_state,completed,home_score,away_score,attendance,espn_event_id,espn_summary_url,espn_stats_url,fixture_url,time_discrepancy_note,source
48,2026-06-23,2026-06-24T02:00:00Z,2026-06-24T02:00:00Z,2026-06-24T10:00+08:00,group-stage,小组赛,K,Colombia,Congo DR,Estadio Akron,guadalajara,Scheduled,pre,False,0,0,0,760459,https://www.espn.com/soccer/match/_/gameId/760459/congo-dr-colombia,https://www.espn.com/soccer/matchstats/_/gameId/760459,https://www.thestatsapi.com/world-cup/matches/colombia-vs-congo-dr-2026-06-23,,TheStatsAPI fixtures + ESPN scoreboard
49,2026-06-24,2026-06-24T22:00:00Z,2026-06-24T22:00:00Z,2026-06-25T06:00+08:00,group-stage,小组赛,C,Scotland,Brazil,Hard Rock Stadium,miami,Scheduled,pre,False,0,0,0,760465,https://www.espn.com/soccer/match/_/gameId/760465/brazil-scotland,https://www.espn.com/soccer/matchstats/_/gameId/760465,https://www.thestatsapi.com/world-cup/matches/scotland-vs-brazil-2026-06-24,,TheStatsAPI fixtures + ESPN scoreboard
50,2026-06-24,2026-06-24T22:00:00Z,2026-06-24T22:00:00Z,2026-06-25T06:00+08:00,group-stage,小组赛,C,Morocco,Haiti,Mercedes-Benz Stadium,atlanta,Scheduled,pre,False,0,0,0,760464,https://www.espn.com/soccer/match/_/gameId/760464/haiti-morocco,https://www.espn.com/soccer/matchstats/_/gameId/760464,https://www.thestatsapi.com/world-cup/matches/morocco-vs-haiti-2026-06-24,,TheStatsAPI fixtures + ESPN scoreboard
51,2026-06-24,2026-06-24T19:00:00Z,2026-06-24T19:00:00Z,2026-06-25T03:00+08:00,group-stage,小组赛,B,Switzerland,Canada,BC Place,vancouver,Scheduled,pre,False,0,0,0,760463,https://www.espn.com/soccer/match/_/gameId/760463/canada-switzerland,https://www.espn.com/soccer/matchstats/_/gameId/760463,https://www.thestatsapi.com/world-cup/matches/switzerland-vs-canada-2026-06-24,,TheStatsAPI fixtures + ESPN scoreboard
52,2026-06-24,2026-06-24T19:00:00Z,2026-06-24T19:00:00Z,2026-06-25T03:00+08:00,group-stage,小组赛,B,Bosnia and Herzegovina,Qatar,Lumen Field,seattle,Scheduled,pre,False,0,0,0,760462,https://www.espn.com/soccer/match/_/gameId/760462/qatar-bosnia-herzegovina,https://www.espn.com/soccer/matchstats/_/gameId/760462,https://www.thestatsapi.com/world-cup/matches/bosnia-and-herzegovina-vs-qatar-2026-06-24,,TheStatsAPI fixtures + ESPN scoreboard
53,2026-06-24,2026-06-25T01:00:00Z,2026-06-25T01:00:00Z,2026-06-25T09:00+08:00,group-stage,小组赛,A,Czechia,Mexico,Estadio Azteca,mexico-city,Scheduled,pre,False,0,0,0,760467,https://www.espn.com/soccer/match/_/gameId/760467/mexico-czechia,https://www.espn.com/soccer/matchstats/_/gameId/760467,https://www.thestatsapi.com/world-cup/matches/czechia-vs-mexico-2026-06-24,,TheStatsAPI fixtures + ESPN scoreboard
54,2026-06-24,2026-06-25T01:00:00Z,2026-06-25T01:00:00Z,2026-06-25T09:00+08:00,group-stage,小组赛,A,South Africa,Korea Republic,Estadio BBVA,monterrey,Scheduled,pre,False,0,0,0,760466,https://www.espn.com/soccer/match/_/gameId/760466/south-korea-south-africa,https://www.espn.com/soccer/matchstats/_/gameId/760466,https://www.thestatsapi.com/world-cup/matches/south-africa-vs-korea-republic-2026-06-24,,TheStatsAPI fixtures + ESPN scoreboard
55,2026-06-25,2026-06-25T20:00:00Z,2026-06-25T20:00:00Z,2026-06-26T04:00+08:00,group-stage,小组赛,E,Curacao,Cote d'Ivoire,Lincoln Financial Field,philadelphia,Scheduled,pre,False,0,0,0,760473,https://www.espn.com/soccer/match/_/gameId/760473/ivory-coast-curacao,https://www.espn.com/soccer/matchstats/_/gameId/760473,https://www.thestatsapi.com/world-cup/matches/curacao-vs-cote-divoire-2026-06-25,,TheStatsAPI fixtures + ESPN scoreboard
56,2026-06-25,2026-06-25T20:00:00Z,2026-06-25T20:00:00Z,2026-06-26T04:00+08:00,group-stage,小组赛,E,Ecuador,Germany,MetLife Stadium,new-york,Scheduled,pre,False,0,0,0,760468,https://www.espn.com/soccer/match/_/gameId/760468/germany-ecuador,https://www.espn.com/soccer/matchstats/_/gameId/760468,https://www.thestatsapi.com/world-cup/matches/ecuador-vs-germany-2026-06-25,,TheStatsAPI fixtures + ESPN scoreboard
57,2026-06-25,2026-06-25T23:00:00Z,2026-06-25T23:00:00Z,2026-06-26T07:00+08:00,group-stage,小组赛,F,Japan,Sweden,AT&T Stadium,dallas,Scheduled,pre,False,0,0,0,760471,https://www.espn.com/soccer/match/_/gameId/760471/sweden-japan,https://www.espn.com/soccer/matchstats/_/gameId/760471,https://www.thestatsapi.com/world-cup/matches/japan-vs-sweden-2026-06-25,,TheStatsAPI fixtures + ESPN scoreboard
58,2026-06-25,2026-06-25T23:00:00Z,2026-06-25T23:00:00Z,2026-06-26T07:00+08:00,group-stage,小组赛,F,Tunisia,Netherlands,Arrowhead Stadium,kansas-city,Scheduled,pre,False,0,0,0,760472,https://www.espn.com/soccer/match/_/gameId/760472/netherlands-tunisia,https://www.espn.com/soccer/matchstats/_/gameId/760472,https://www.thestatsapi.com/world-cup/matches/tunisia-vs-netherlands-2026-06-25,,TheStatsAPI fixtures + ESPN scoreboard
59,2026-06-25,2026-06-26T02:00:00Z,2026-06-26T02:00:00Z,2026-06-26T10:00+08:00,group-stage,小组赛,D,Turkiye,United States,SoFi Stadium,los-angeles,Scheduled,pre,False,0,0,0,760470,https://www.espn.com/soccer/match/_/gameId/760470/united-states-turkiye,https://www.espn.com/soccer/matchstats/_/gameId/760470,https://www.thestatsapi.com/world-cup/matches/turkiye-vs-united-states-2026-06-25,,TheStatsAPI fixtures + ESPN scoreboard
60,2026-06-25,2026-06-26T02:00:00Z,2026-06-26T02:00:00Z,2026-06-26T10:00+08:00,group-stage,小组赛,D,Paraguay,Australia,Levi's Stadium,san-francisco,Scheduled,pre,False,0,0,0,760469,https://www.espn.com/soccer/match/_/gameId/760469/australia-paraguay,https://www.espn.com/soccer/matchstats/_/gameId/760469,https://www.thestatsapi.com/world-cup/matches/paraguay-vs-australia-2026-06-25,,TheStatsAPI fixtures + ESPN scoreboard
61,2026-06-26,2026-06-26T19:00:00Z,2026-06-26T19:00:00Z,2026-06-27T03:00+08:00,group-stage,小组赛,I,Norway,France,Gillette Stadium,boston,Scheduled,pre,False,0,0,0,760475,https://www.espn.com/soccer/match/_/gameId/760475/france-norway,https://www.espn.com/soccer/matchstats/_/gameId/760475,https://www.thestatsapi.com/world-cup/matches/norway-vs-france-2026-06-26,,TheStatsAPI fixtures + ESPN scoreboard
62,2026-06-26,2026-06-26T19:00:00Z,2026-06-26T19:00:00Z,2026-06-27T03:00+08:00,group-stage,小组赛,I,Senegal,Iraq,BMO Field,toronto,Scheduled,pre,False,0,0,0,760474,https://www.espn.com/soccer/match/_/gameId/760474/iraq-senegal,https://www.espn.com/soccer/matchstats/_/gameId/760474,https://www.thestatsapi.com/world-cup/matches/senegal-vs-iraq-2026-06-26,,TheStatsAPI fixtures + ESPN scoreboard
63,2026-06-26,2026-06-27T03:00:00Z,2026-06-27T03:00:00Z,2026-06-27T11:00+08:00,group-stage,小组赛,G,Egypt,IR Iran,Lumen Field,seattle,Scheduled,pre,False,0,0,0,760476,https://www.espn.com/soccer/match/_/gameId/760476/iran-egypt,https://www.espn.com/soccer/matchstats/_/gameId/760476,https://www.thestatsapi.com/world-cup/matches/egypt-vs-ir-iran-2026-06-26,,TheStatsAPI fixtures + ESPN scoreboard
64,2026-06-26,2026-06-27T03:00:00Z,2026-06-27T03:00:00Z,2026-06-27T11:00+08:00,group-stage,小组赛,G,New Zealand,Belgium,BC Place,vancouver,Scheduled,pre,False,0,0,0,760477,https://www.espn.com/soccer/match/_/gameId/760477/belgium-new-zealand,https://www.espn.com/soccer/matchstats/_/gameId/760477,https://www.thestatsapi.com/world-cup/matches/new-zealand-vs-belgium-2026-06-26,,TheStatsAPI fixtures + ESPN scoreboard
65,2026-06-26,2026-06-27T00:00:00Z,2026-06-27T00:00:00Z,2026-06-27T08:00+08:00,group-stage,小组赛,H,Cabo Verde,Saudi Arabia,NRG Stadium,houston,Scheduled,pre,False,0,0,0,760478,https://www.espn.com/soccer/match/_/gameId/760478/saudi-arabia-cape-verde,https://www.espn.com/soccer/matchstats/_/gameId/760478,https://www.thestatsapi.com/world-cup/matches/cabo-verde-vs-saudi-arabia-2026-06-26,,TheStatsAPI fixtures + ESPN scoreboard
66,2026-06-26,2026-06-27T00:00:00Z,2026-06-27T00:00:00Z,2026-06-27T08:00+08:00,group-stage,小组赛,H,Uruguay,Spain,Estadio Akron,guadalajara,Scheduled,pre,False,0,0,0,760479,https://www.espn.com/soccer/match/_/gameId/760479/spain-uruguay,https://www.espn.com/soccer/matchstats/_/gameId/760479,https://www.thestatsapi.com/world-cup/matches/uruguay-vs-spain-2026-06-26,,TheStatsAPI fixtures + ESPN scoreboard
67,2026-06-27,2026-06-27T21:00:00Z,2026-06-27T21:00:00Z,2026-06-28T05:00+08:00,group-stage,小组赛,L,Panama,England,MetLife Stadium,new-york,Scheduled,pre,False,0,0,0,760485,https://www.espn.com/soccer/match/_/gameId/760485/england-panama,https://www.espn.com/soccer/matchstats/_/gameId/760485,https://www.thestatsapi.com/world-cup/matches/panama-vs-england-2026-06-27,,TheStatsAPI fixtures + ESPN scoreboard
68,2026-06-27,2026-06-27T21:00:00Z,2026-06-27T21:00:00Z,2026-06-28T05:00+08:00,group-stage,小组赛,L,Croatia,Ghana,Lincoln Financial Field,philadelphia,Scheduled,pre,False,0,0,0,760480,https://www.espn.com/soccer/match/_/gameId/760480/ghana-croatia,https://www.espn.com/soccer/matchstats/_/gameId/760480,https://www.thestatsapi.com/world-cup/matches/croatia-vs-ghana-2026-06-27,,TheStatsAPI fixtures + ESPN scoreboard
69,2026-06-27,2026-06-28T02:00:00Z,2026-06-28T02:00:00Z,2026-06-28T10:00+08:00,group-stage,小组赛,J,Algeria,Austria,Arrowhead Stadium,kansas-city,Scheduled,pre,False,0,0,0,760484,https://www.espn.com/soccer/match/_/gameId/760484/austria-algeria,https://www.espn.com/soccer/matchstats/_/gameId/760484,https://www.thestatsapi.com/world-cup/matches/algeria-vs-austria-2026-06-27,,TheStatsAPI fixtures + ESPN scoreboard
70,2026-06-27,2026-06-28T02:00:00Z,2026-06-28T02:00:00Z,2026-06-28T10:00+08:00,group-stage,小组赛,J,Jordan,Argentina,AT&T Stadium,dallas,Scheduled,pre,False,0,0,0,760483,https://www.espn.com/soccer/match/_/gameId/760483/argentina-jordan,https://www.espn.com/soccer/matchstats/_/gameId/760483,https://www.thestatsapi.com/world-cup/matches/jordan-vs-argentina-2026-06-27,,TheStatsAPI fixtures + ESPN scoreboard
71,2026-06-27,2026-06-27T23:30:00Z,2026-06-27T23:30:00Z,2026-06-28T07:30+08:00,group-stage,小组赛,K,Colombia,Portugal,Hard Rock Stadium,miami,Scheduled,pre,False,0,0,0,760481,https://www.espn.com/soccer/match/_/gameId/760481/portugal-colombia,https://www.espn.com/soccer/matchstats/_/gameId/760481,https://www.thestatsapi.com/world-cup/matches/colombia-vs-portugal-2026-06-27,,TheStatsAPI fixtures + ESPN scoreboard
72,2026-06-27,2026-06-27T23:30:00Z,2026-06-27T23:30:00Z,2026-06-28T07:30+08:00,group-stage,小组赛,K,Congo DR,Uzbekistan,Mercedes-Benz Stadium,atlanta,Scheduled,pre,False,0,0,0,760482,https://www.espn.com/soccer/match/_/gameId/760482/uzbekistan-congo-dr,https://www.espn.com/soccer/matchstats/_/gameId/760482,https://www.thestatsapi.com/world-cup/matches/congo-dr-vs-uzbekistan-2026-06-27,,TheStatsAPI fixtures + ESPN scoreboard
73,2026-06-28,2026-06-28T19:00:00Z,2026-06-28T19:00:00Z,2026-06-29T03:00+08:00,round-of-32,32强,,Group A runners-up,Group B runners-up,SoFi Stadium,los-angeles,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/group-a-runners-up-vs-group-b-runners-up-2026-06-28,,TheStatsAPI fixtures + ESPN scoreboard
74,2026-06-29,2026-06-29T20:30:00Z,2026-06-29T20:30:00Z,2026-06-30T04:30+08:00,round-of-32,32强,,Group E winners,Group A/B/C/D/F third place,Gillette Stadium,boston,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/group-e-winners-vs-group-a-b-c-d-f-third-place-2026-06-29,,TheStatsAPI fixtures + ESPN scoreboard
75,2026-06-29,2026-06-30T01:00:00Z,2026-06-30T01:00:00Z,2026-06-30T09:00+08:00,round-of-32,32强,,Group F winners,Group C runners-up,Estadio BBVA,monterrey,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/group-f-winners-vs-group-c-runners-up-2026-06-29,,TheStatsAPI fixtures + ESPN scoreboard
76,2026-06-29,2026-06-29T17:00:00Z,2026-06-29T17:00:00Z,2026-06-30T01:00+08:00,round-of-32,32强,,Group C winners,Group F runners-up,NRG Stadium,houston,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/group-c-winners-vs-group-f-runners-up-2026-06-29,,TheStatsAPI fixtures + ESPN scoreboard
77,2026-06-30,2026-06-30T21:00:00Z,2026-06-30T21:00:00Z,2026-07-01T05:00+08:00,round-of-32,32强,,Group I winners,Group C/D/F/G/H third place,MetLife Stadium,new-york,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/group-i-winners-vs-group-c-d-f-g-h-third-place-2026-06-30,,TheStatsAPI fixtures + ESPN scoreboard
78,2026-06-30,2026-06-30T17:00:00Z,2026-06-30T17:00:00Z,2026-07-01T01:00+08:00,round-of-32,32强,,Group E runners-up,Group I runners-up,AT&T Stadium,dallas,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/group-e-runners-up-vs-group-i-runners-up-2026-06-30,,TheStatsAPI fixtures + ESPN scoreboard
79,2026-06-30,2026-07-01T01:00:00Z,2026-07-01T01:00:00Z,2026-07-01T09:00+08:00,round-of-32,32强,,Group A winners,Group C/E/F/H/I third place,Estadio Azteca,mexico-city,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/group-a-winners-vs-group-c-e-f-h-i-third-place-2026-06-30,,TheStatsAPI fixtures + ESPN scoreboard
80,2026-07-01,2026-07-01T16:00:00Z,2026-07-01T16:00:00Z,2026-07-02T00:00+08:00,round-of-32,32强,,Group L winners,Group E/H/I/J/K third place,Mercedes-Benz Stadium,atlanta,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/group-l-winners-vs-group-e-h-i-j-k-third-place-2026-07-01,,TheStatsAPI fixtures + ESPN scoreboard
81,2026-07-01,2026-07-02T00:00:00Z,2026-07-02T00:00:00Z,2026-07-02T08:00+08:00,round-of-32,32强,,Group D winners,Group B/E/F/I/J third place,Levi's Stadium,san-francisco,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/group-d-winners-vs-group-b-e-f-i-j-third-place-2026-07-01,,TheStatsAPI fixtures + ESPN scoreboard
82,2026-07-01,2026-07-01T20:00:00Z,2026-07-01T20:00:00Z,2026-07-02T04:00+08:00,round-of-32,32强,,Group G winners,Group A/E/H/I/J third place,Lumen Field,seattle,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/group-g-winners-vs-group-a-e-h-i-j-third-place-2026-07-01,,TheStatsAPI fixtures + ESPN scoreboard
83,2026-07-02,2026-07-02T23:00:00Z,2026-07-02T23:00:00Z,2026-07-03T07:00+08:00,round-of-32,32强,,Group K runners-up,Group L runners-up,BMO Field,toronto,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/group-k-runners-up-vs-group-l-runners-up-2026-07-02,,TheStatsAPI fixtures + ESPN scoreboard
84,2026-07-02,2026-07-02T19:00:00Z,2026-07-02T19:00:00Z,2026-07-03T03:00+08:00,round-of-32,32强,,Group H winners,Group J runners-up,SoFi Stadium,los-angeles,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/group-h-winners-vs-group-j-runners-up-2026-07-02,,TheStatsAPI fixtures + ESPN scoreboard
85,2026-07-02,2026-07-03T03:00:00Z,2026-07-03T03:00:00Z,2026-07-03T11:00+08:00,round-of-32,32强,,Group B winners,Group E/F/G/I/J third place,BC Place,vancouver,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/group-b-winners-vs-group-e-f-g-i-j-third-place-2026-07-02,,TheStatsAPI fixtures + ESPN scoreboard
86,2026-07-03,2026-07-03T22:00:00Z,2026-07-03T22:00:00Z,2026-07-04T06:00+08:00,round-of-32,32强,,Group J winners,Group H runners-up,Hard Rock Stadium,miami,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/group-j-winners-vs-group-h-runners-up-2026-07-03,,TheStatsAPI fixtures + ESPN scoreboard
87,2026-07-03,2026-07-04T01:30:00Z,2026-07-04T01:30:00Z,2026-07-04T09:30+08:00,round-of-32,32强,,Group K winners,Group D/E/I/J/L third place,Arrowhead Stadium,kansas-city,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/group-k-winners-vs-group-d-e-i-j-l-third-place-2026-07-03,,TheStatsAPI fixtures + ESPN scoreboard
88,2026-07-03,2026-07-03T18:00:00Z,2026-07-03T18:00:00Z,2026-07-04T02:00+08:00,round-of-32,32强,,Group D runners-up,Group G runners-up,AT&T Stadium,dallas,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/group-d-runners-up-vs-group-g-runners-up-2026-07-03,,TheStatsAPI fixtures + ESPN scoreboard
89,2026-07-04,2026-07-04T21:00:00Z,2026-07-04T21:00:00Z,2026-07-05T05:00+08:00,round-of-16,16强,,Winner Match 74,Winner Match 77,Lincoln Financial Field,philadelphia,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/winner-match-74-vs-winner-match-77-2026-07-04,,TheStatsAPI fixtures + ESPN scoreboard
90,2026-07-04,2026-07-04T17:00:00Z,2026-07-04T17:00:00Z,2026-07-05T01:00+08:00,round-of-16,16强,,Winner Match 73,Winner Match 75,NRG Stadium,houston,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/winner-match-73-vs-winner-match-75-2026-07-04,,TheStatsAPI fixtures + ESPN scoreboard
91,2026-07-05,2026-07-05T20:00:00Z,2026-07-05T20:00:00Z,2026-07-06T04:00+08:00,round-of-16,16强,,Winner Match 76,Winner Match 78,MetLife Stadium,new-york,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/winner-match-76-vs-winner-match-78-2026-07-05,,TheStatsAPI fixtures + ESPN scoreboard
92,2026-07-05,2026-07-06T00:00:00Z,2026-07-06T00:00:00Z,2026-07-06T08:00+08:00,round-of-16,16强,,Winner Match 79,Winner Match 80,Estadio Azteca,mexico-city,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/winner-match-79-vs-winner-match-80-2026-07-05,,TheStatsAPI fixtures + ESPN scoreboard
93,2026-07-06,2026-07-06T19:00:00Z,2026-07-06T19:00:00Z,2026-07-07T03:00+08:00,round-of-16,16强,,Winner Match 83,Winner Match 84,AT&T Stadium,dallas,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/winner-match-83-vs-winner-match-84-2026-07-06,,TheStatsAPI fixtures + ESPN scoreboard
94,2026-07-06,2026-07-07T00:00:00Z,2026-07-07T00:00:00Z,2026-07-07T08:00+08:00,round-of-16,16强,,Winner Match 81,Winner Match 82,Lumen Field,seattle,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/winner-match-81-vs-winner-match-82-2026-07-06,,TheStatsAPI fixtures + ESPN scoreboard
95,2026-07-07,2026-07-07T16:00:00Z,2026-07-07T16:00:00Z,2026-07-08T00:00+08:00,round-of-16,16强,,Winner Match 86,Winner Match 88,Mercedes-Benz Stadium,atlanta,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/winner-match-86-vs-winner-match-88-2026-07-07,,TheStatsAPI fixtures + ESPN scoreboard
96,2026-07-07,2026-07-07T20:00:00Z,2026-07-07T20:00:00Z,2026-07-08T04:00+08:00,round-of-16,16强,,Winner Match 85,Winner Match 87,BC Place,vancouver,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/winner-match-85-vs-winner-match-87-2026-07-07,,TheStatsAPI fixtures + ESPN scoreboard
97,2026-07-09,2026-07-09T20:00:00Z,2026-07-09T20:00:00Z,2026-07-10T04:00+08:00,quarter-finals,四分之一决赛,,Winner Match 89,Winner Match 90,Gillette Stadium,boston,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/winner-match-89-vs-winner-match-90-2026-07-09,,TheStatsAPI fixtures + ESPN scoreboard
98,2026-07-10,2026-07-10T19:00:00Z,2026-07-10T19:00:00Z,2026-07-11T03:00+08:00,quarter-finals,四分之一决赛,,Winner Match 93,Winner Match 94,SoFi Stadium,los-angeles,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/winner-match-93-vs-winner-match-94-2026-07-10,,TheStatsAPI fixtures + ESPN scoreboard
99,2026-07-11,2026-07-11T21:00:00Z,2026-07-11T21:00:00Z,2026-07-12T05:00+08:00,quarter-finals,四分之一决赛,,Winner Match 91,Winner Match 92,Hard Rock Stadium,miami,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/winner-match-91-vs-winner-match-92-2026-07-11,,TheStatsAPI fixtures + ESPN scoreboard
100,2026-07-11,2026-07-12T01:00:00Z,2026-07-12T01:00:00Z,2026-07-12T09:00+08:00,quarter-finals,四分之一决赛,,Winner Match 95,Winner Match 96,Arrowhead Stadium,kansas-city,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/winner-match-95-vs-winner-match-96-2026-07-11,,TheStatsAPI fixtures + ESPN scoreboard
101,2026-07-14,2026-07-14T19:00:00Z,2026-07-14T19:00:00Z,2026-07-15T03:00+08:00,semi-finals,半决赛,,Winner Match 97,Winner Match 98,AT&T Stadium,dallas,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/winner-match-97-vs-winner-match-98-2026-07-14,,TheStatsAPI fixtures + ESPN scoreboard
102,2026-07-15,2026-07-15T19:00:00Z,2026-07-15T19:00:00Z,2026-07-16T03:00+08:00,semi-finals,半决赛,,Winner Match 99,Winner Match 100,Mercedes-Benz Stadium,atlanta,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/winner-match-99-vs-winner-match-100-2026-07-15,,TheStatsAPI fixtures + ESPN scoreboard
103,2026-07-18,2026-07-18T21:00:00Z,2026-07-18T21:00:00Z,2026-07-19T05:00+08:00,third-place,三四名决赛,,Loser Match 101,Loser Match 102,Hard Rock Stadium,miami,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/loser-match-101-vs-loser-match-102-2026-07-18,,TheStatsAPI fixtures + ESPN scoreboard
104,2026-07-19,2026-07-19T19:00:00Z,2026-07-19T19:00:00Z,2026-07-20T03:00+08:00,final,决赛,,Winner Match 101,Winner Match 102,MetLife Stadium,new-york,Scheduled,pre,False,,,,,,,https://www.thestatsapi.com/world-cup/matches/winner-match-101-vs-winner-match-102-2026-07-19,,TheStatsAPI fixtures + ESPN scoreboard
