match_number,kickoff_beijing,home_team,away_team,home_team_zh_expected,away_team_zh_expected,zhibo8_match_id,zhibo8_home_team,zhibo8_away_team,local_score,zhibo8_score,zhibo8_state,check_status,issues
1,2026-06-12T03:00+08:00,Mexico,South Africa,墨西哥,南非,1867414,墨西哥,南非,2-0,2-0,完赛,OK,
2,2026-06-12T10:00+08:00,Korea Republic,Czechia,韩国,捷克,1869142,韩国,捷克,2-1,2-1,完赛,OK,
3,2026-06-13T03:00+08:00,Canada,Bosnia and Herzegovina,加拿大,波黑,1867415,加拿大,波黑,1-1,1-1,完赛,OK,
4,2026-06-13T09:00+08:00,United States,Paraguay,美国,巴拉圭,1867416,美国,巴拉圭,4-1,4-1,完赛,OK,
5,2026-06-14T09:00+08:00,Haiti,Scotland,海地,苏格兰,1869149,海地,苏格兰,0-1,0-1,完赛,OK,
6,2026-06-14T12:00+08:00,Australia,Turkiye,澳大利亚,土耳其,1869154,澳大利亚,土耳其,2-0,2-0,完赛,OK,
7,2026-06-14T06:00+08:00,Brazil,Morocco,巴西,摩洛哥,1869148,巴西,摩洛哥,1-1,1-1,完赛,OK,
8,2026-06-14T03:00+08:00,Qatar,Switzerland,卡塔尔,瑞士,1869145,卡塔尔,瑞士,1-1,1-1,完赛,OK,
9,2026-06-15T07:00+08:00,Cote d'Ivoire,Ecuador,科特迪瓦,厄瓜多尔,1869159,科特迪瓦,厄瓜多尔,1-0,1-0,完赛,OK,
10,2026-06-15T01:00+08:00,Germany,Curacao,德国,库拉索,1869158,德国,库拉索,7-1,7-1,完赛,OK,
11,2026-06-15T04:00+08:00,Netherlands,Japan,荷兰,日本,1869165,荷兰,日本,2-2,2-2,完赛,OK,
12,2026-06-15T10:00+08:00,Sweden,Tunisia,瑞典,突尼斯,1869166,瑞典,突尼斯,5-1,5-1,完赛,OK,
13,2026-06-16T06:00+08:00,Saudi Arabia,Uruguay,沙特,乌拉圭,1869178,沙特,乌拉圭,1-1,1-1,完赛,OK,
14,2026-06-16T00:00+08:00,Spain,Cabo Verde,西班牙,佛得角,1869177,西班牙,佛得角,0-0,0-0,完赛,OK,
15,2026-06-16T09:00+08:00,IR Iran,New Zealand,伊朗,新西兰,1869172,伊朗,新西兰,2-2,2-2,完赛,OK,
16,2026-06-16T03:00+08:00,Belgium,Egypt,比利时,埃及,1869171,比利时,埃及,1-1,1-1,完赛,OK,
17,2026-06-17T03:00+08:00,France,Senegal,法国,塞内加尔,1869183,法国,塞内加尔,3-1,3-1,完赛,OK,
18,2026-06-17T06:00+08:00,Iraq,Norway,伊拉克,挪威,1869184,伊拉克,挪威,1-4,1-4,完赛,OK,
19,2026-06-17T09:00+08:00,Argentina,Algeria,阿根廷,阿尔及利亚,1869192,阿根廷,阿尔及利亚,3-0,3-0,完赛,OK,
20,2026-06-17T12:00+08:00,Austria,Jordan,奥地利,约旦,1869193,奥地利,约旦,3-1,3-1,完赛,OK,
21,2026-06-18T07:00+08:00,Ghana,Panama,加纳,巴拿马,1869205,加纳,巴拿马,1-0,1-0,完赛,OK,
22,2026-06-18T04:00+08:00,England,Croatia,英格兰,克罗地亚,1869204,英格兰,克罗地亚,4-2,4-2,完赛,OK,
23,2026-06-18T01:00+08:00,Portugal,Congo DR,葡萄牙,民主刚果,1869198,葡萄牙,民主刚果,1-1,1-1,完赛,OK,
24,2026-06-18T10:00+08:00,Uzbekistan,Colombia,乌兹别克斯坦,哥伦比亚,1869199,乌兹别克斯坦,哥伦比亚,1-3,1-3,完赛,OK,
25,2026-06-19T00:00+08:00,Czechia,South Africa,捷克,南非,1869143,捷克,南非,1-1,1-1,完赛,OK,
26,2026-06-19T03:00+08:00,Switzerland,Bosnia and Herzegovina,瑞士,波黑,1869146,瑞士,波黑,4-1,4-1,完赛,OK,
27,2026-06-19T06:00+08:00,Canada,Qatar,加拿大,卡塔尔,1867422,加拿大,卡塔尔,6-0,6-0,完赛,OK,
28,2026-06-19T09:00+08:00,Mexico,Korea Republic,墨西哥,韩国,1867425,墨西哥,韩国,1-0,1-0,完赛,OK,
29,2026-06-20T08:30+08:00,Brazil,Haiti,巴西,海地,1869150,巴西,海地,3-0,3-0,完赛,OK,
30,2026-06-20T06:00+08:00,Scotland,Morocco,苏格兰,摩洛哥,1869151,苏格兰,摩洛哥,0-1,0-1,完赛,OK,
31,2026-06-20T11:00+08:00,Turkiye,Paraguay,土耳其,巴拉圭,1869155,土耳其,巴拉圭,0-1,0-1,完赛,OK,
32,2026-06-20T03:00+08:00,United States,Australia,美国,澳大利亚,1867426,美国,澳大利亚,2-0,2-0,完赛,OK,
33,2026-06-21T04:00+08:00,Germany,Cote d'Ivoire,德国,科特迪瓦,1869160,德国,科特迪瓦,2-1,2-1,完赛,OK,
34,2026-06-21T08:00+08:00,Ecuador,Curacao,厄瓜多尔,库拉索,1869161,厄瓜多尔,库拉索,0-0,0-0,完赛,OK,
35,2026-06-21T01:00+08:00,Netherlands,Sweden,荷兰,瑞典,1869167,荷兰,瑞典,5-1,5-1,完赛,OK,
36,2026-06-21T12:00+08:00,Tunisia,Japan,突尼斯,日本,1869168,突尼斯,日本,0-4,0-4,完赛,OK,
37,2026-06-22T06:00+08:00,Uruguay,Cabo Verde,乌拉圭,佛得角,1869180,乌拉圭,佛得角,2-2,2-2,完赛,OK,
38,2026-06-22T00:00+08:00,Spain,Saudi Arabia,西班牙,沙特,1869179,西班牙,沙特,4-0,4-0,完赛,OK,
39,2026-06-22T03:00+08:00,Belgium,IR Iran,比利时,伊朗,1869173,比利时,伊朗,0-0,0-0,完赛,OK,
40,2026-06-22T09:00+08:00,New Zealand,Egypt,新西兰,埃及,1869174,新西兰,埃及,1-3,1-3,完赛,OK,
41,2026-06-23T08:00+08:00,Norway,Senegal,挪威,塞内加尔,1869186,挪威,塞内加尔,3-2,3-2,完赛,OK,
42,2026-06-23T05:00+08:00,France,Iraq,法国,伊拉克,1869185,法国,伊拉克,3-0,3-0,完赛,OK,
43,2026-06-23T01:00+08:00,Argentina,Austria,阿根廷,奥地利,1869194,阿根廷,奥地利,2-0,2-0,完赛,OK,
44,2026-06-23T11:00+08:00,Jordan,Algeria,约旦,阿尔及利亚,1869195,约旦,阿尔及利亚,1-2,1-2,完赛,OK,
45,2026-06-24T04:00+08:00,England,Ghana,英格兰,加纳,1869206,英格兰,加纳,0-0,0-0,完赛,OK,
46,2026-06-24T07:00+08:00,Panama,Croatia,巴拿马,克罗地亚,1869207,巴拿马,克罗地亚,0-1,0-1,完赛,OK,
47,2026-06-24T01:00+08:00,Portugal,Uzbekistan,葡萄牙,乌兹别克斯坦,1869200,葡萄牙,乌兹别克斯坦,5-0,5-0,完赛,OK,
48,2026-06-24T10:00+08:00,Colombia,Congo DR,哥伦比亚,民主刚果,1869201,哥伦比亚,民主刚果,1-0,1-0,完赛,OK,
49,2026-06-25T06:00+08:00,Scotland,Brazil,苏格兰,巴西,1869152,苏格兰,巴西,0-3,0-3,完赛,OK,
50,2026-06-25T06:00+08:00,Morocco,Haiti,摩洛哥,海地,1869153,摩洛哥,海地,4-2,4-2,完赛,OK,
51,2026-06-25T03:00+08:00,Switzerland,Canada,瑞士,加拿大,1867428,瑞士,加拿大,2-1,2-1,完赛,OK,
52,2026-06-25T03:00+08:00,Bosnia and Herzegovina,Qatar,波黑,卡塔尔,1869147,波黑,卡塔尔,3-1,3-1,完赛,OK,
53,2026-06-25T09:00+08:00,Czechia,Mexico,捷克,墨西哥,1867429,捷克,墨西哥,0-3,0-3,完赛,OK,
54,2026-06-25T09:00+08:00,South Africa,Korea Republic,南非,韩国,1869144,南非,韩国,1-0,1-0,完赛,OK,
55,2026-06-26T04:00+08:00,Curacao,Cote d'Ivoire,库拉索,科特迪瓦,1869163,库拉索,科特迪瓦,0-2,0-2,完赛,OK,
56,2026-06-26T04:00+08:00,Ecuador,Germany,厄瓜多尔,德国,1869162,厄瓜多尔,德国,2-1,2-1,完赛,OK,
57,2026-06-26T07:00+08:00,Japan,Sweden,日本,瑞典,1869170,日本,瑞典,1-1,1-1,完赛,OK,
58,2026-06-26T07:00+08:00,Tunisia,Netherlands,突尼斯,荷兰,1869169,突尼斯,荷兰,1-3,1-3,完赛,OK,
59,2026-06-26T10:00+08:00,Turkiye,United States,土耳其,美国,1867430,土耳其,美国,3-2,3-2,完赛,OK,
60,2026-06-26T10:00+08:00,Paraguay,Australia,巴拉圭,澳大利亚,1869156,巴拉圭,澳大利亚,0-0,0-0,完赛,OK,
61,2026-06-27T03:00+08:00,Norway,France,挪威,法国,1869187,挪威,法国,1-4,1-4,完赛,OK,
62,2026-06-27T03:00+08:00,Senegal,Iraq,塞内加尔,伊拉克,1869188,塞内加尔,伊拉克,5-0,5-0,完赛,OK,
63,2026-06-27T11:00+08:00,Egypt,IR Iran,埃及,伊朗,1869176,埃及,伊朗,1-1,1-1,完赛,OK,
64,2026-06-27T11:00+08:00,New Zealand,Belgium,新西兰,比利时,1869175,新西兰,比利时,1-5,1-5,完赛,OK,
65,2026-06-27T08:00+08:00,Cabo Verde,Saudi Arabia,,,,,,,,,MISSING_IN_ZHIBO8,直播吧没有同一北京时间的比赛
66,2026-06-27T08:00+08:00,Uruguay,Spain,乌拉圭,西班牙,1869181,乌拉圭,西班牙,0-1,0-1,完赛,OK,
67,2026-06-28T05:00+08:00,Panama,England,巴拿马,英格兰,1869208,巴拿马,英格兰,0-2,0-2,完赛,OK,
68,2026-06-28T05:00+08:00,Croatia,Ghana,克罗地亚,加纳,1869209,克罗地亚,加纳,2-1,2-1,完赛,OK,
69,2026-06-28T10:00+08:00,Algeria,Austria,阿尔及利亚,奥地利,1869197,阿尔及利亚,奥地利,3-3,3-3,完赛,OK,
70,2026-06-28T10:00+08:00,Jordan,Argentina,约旦,阿根廷,1869196,约旦,阿根廷,1-3,1-3,完赛,OK,
71,2026-06-28T07:30+08:00,Colombia,Portugal,哥伦比亚,葡萄牙,1869202,哥伦比亚,葡萄牙,0-0,0-0,完赛,OK,
72,2026-06-28T07:30+08:00,Congo DR,Uzbekistan,民主刚果,乌兹别克斯坦,1869203,民主刚果,乌兹别克斯坦,3-1,3-1,完赛,OK,
73,2026-06-29T03:00+08:00,Group A runners-up,Group B runners-up,,,1867441,南非,加拿大,,0-1,完赛,OK,
74,2026-06-30T04:30+08:00,Group E winners,Group A/B/C/D/F third place,,,1867446,德国,巴拉圭,,1-1,完赛,OK,
75,2026-06-30T09:00+08:00,Group F winners,Group C runners-up,,,1867456,荷兰,摩洛哥,,1-1,完赛,OK,
76,2026-06-30T01:00+08:00,Group C winners,Group F runners-up,,,1867458,巴西,日本,,2-1,完赛,OK,
77,2026-07-01T05:00+08:00,Group I winners,Group C/D/F/G/H third place,,,1867459,法国,瑞典,,3-0,完赛,OK,
78,2026-07-01T01:00+08:00,Group E runners-up,Group I runners-up,,,1867460,科特迪瓦,挪威,,1-2,完赛,OK,
79,2026-07-01T09:00+08:00,Group A winners,Group C/E/F/H/I third place,,,,,,,,,MISSING_IN_ZHIBO8,直播吧没有同一北京时间的比赛
80,2026-07-02T00:00+08:00,Group L winners,Group E/H/I/J/K third place,,,1867462,英格兰,民主刚果,,2-1,完赛,OK,
81,2026-07-02T08:00+08:00,Group D winners,Group B/E/F/I/J third place,,,1867463,美国,波黑,,2-0,完赛,OK,
82,2026-07-02T04:00+08:00,Group G winners,Group A/E/H/I/J third place,,,1867464,比利时,塞内加尔,,3-2,完赛,OK,
83,2026-07-03T07:00+08:00,Group K runners-up,Group L runners-up,,,1867465,葡萄牙,克罗地亚,,2-1,完赛,OK,
84,2026-07-03T03:00+08:00,Group H winners,Group J runners-up,,,1867466,西班牙,奥地利,,3-0,完赛,OK,
85,2026-07-03T11:00+08:00,Group B winners,Group E/F/G/I/J third place,,,1867467,瑞士,阿尔及利亚,,2-0,完赛,OK,
86,2026-07-04T06:00+08:00,Group J winners,Group H runners-up,,,1867468,阿根廷,佛得角,,3-2,完赛,OK,
87,2026-07-04T09:30+08:00,Group K winners,Group D/E/I/J/L third place,,,1867469,哥伦比亚,加纳,,1-0,完赛,OK,
88,2026-07-04T02:00+08:00,Group D runners-up,Group G runners-up,,,1867470,澳大利亚,埃及,,1-1,完赛,OK,
89,2026-07-05T05:00+08:00,Winner Match 74,Winner Match 77,,,1867437,巴拉圭,法国,,0-1,完赛,OK,
90,2026-07-05T01:00+08:00,Winner Match 73,Winner Match 75,,,1867438,加拿大,摩洛哥,,0-3,完赛,OK,
91,2026-07-06T04:00+08:00,Winner Match 76,Winner Match 78,,,1867439,巴西,挪威,,-,未赛,OK,
92,2026-07-06T08:00+08:00,Winner Match 79,Winner Match 80,,,1867442,墨西哥,英格兰,,-,未赛,OK,
93,2026-07-07T03:00+08:00,Winner Match 83,Winner Match 84,,,1867444,葡萄牙,西班牙,,-,未赛,OK,
94,2026-07-07T08:00+08:00,Winner Match 81,Winner Match 82,,,1867445,美国,比利时,,-,未赛,OK,
95,2026-07-08T00:00+08:00,Winner Match 86,Winner Match 88,,,1867447,阿根廷,埃及,,-,未赛,OK,
96,2026-07-08T04:00+08:00,Winner Match 85,Winner Match 87,,,1867448,瑞士,哥伦比亚,,-,未赛,OK,
97,2026-07-10T04:00+08:00,Winner Match 89,Winner Match 90,,,1867449,法国,摩洛哥,,-,未赛,OK,
98,2026-07-11T03:00+08:00,Winner Match 93,Winner Match 94,,,1867450,葡萄牙/西班牙,美国/比利时,,-,未赛,OK,
99,2026-07-12T05:00+08:00,Winner Match 91,Winner Match 92,,,1867451,巴西/挪威,墨西哥/英格兰,,-,未赛,OK,
100,2026-07-12T09:00+08:00,Winner Match 95,Winner Match 96,,,1867452,阿根廷/埃及,瑞士/哥伦比亚,,-,未赛,OK,
101,2026-07-15T03:00+08:00,Winner Match 97,Winner Match 98,,,1867453,法国/摩洛哥,第2场1/4决赛胜者,,-,未赛,OK,
102,2026-07-16T03:00+08:00,Winner Match 99,Winner Match 100,,,1867454,第3场1/4决赛胜者,第4场1/4决赛胜者,,-,未赛,OK,
103,2026-07-19T05:00+08:00,Loser Match 101,Loser Match 102,,,1867455,第1场半决赛败者,第2场半决赛败者,,-,未赛,OK,
104,2026-07-20T03:00+08:00,Winner Match 101,Winner Match 102,,,1867457,第1场半决赛胜者,第2场半决赛胜者,,-,未赛,OK,
,2026-06-27T08:00+08:00,,,,,1869182,佛得角,沙特阿拉伯,,0-0,完赛,EXTRA_IN_ZHIBO8,本地赛程没有同一北京时间的比赛
,2026-07-01T10:00+08:00,,,,,1867461,墨西哥,厄瓜多尔,,2-0,完赛,EXTRA_IN_ZHIBO8,本地赛程没有同一北京时间的比赛
